App,Package,Start Time,Duration,Filename,,,,,,,,,,,,,,,,,,,,,
System,,"Sep 7, 2016 @ 02:35:23 AM",1 min 2 sec,Sequential.db,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Time  [ms],Battery Status,Time  [ms],Screen Brightness,Time  [ms],Battery Power* [uW],Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU1 Load [%],Time  [ms],CPU2 Load [%],Time  [ms],CPU3 Load [%],Time  [ms],CPU4 Load [%]
7500,1,7597,1,7598,1412101,7598,320000,7598,0,7595,1958400,7596,1958400,7597,0,7597,0,7596,100,7597,22,7597,0,7598,0
7598,1,7699,1,7700,1245568,7701,320000,7703,0,7695,1958400,7697,960000,7699,0,7700,0,7697,100,7698,40,7699,0,7700,0
7700,1,7798,1,7798,1770390,7799,320000,7799,0,7795,1958400,7797,1958400,7798,0,7798,0,7796,53,7797,100,7798,0,7798,0
7798,1,7899,1,7900,1412101,7900,320000,7901,0,7896,1958400,7897,1958400,7898,0,7899,0,7897,22,7898,100,7898,0,7900,0
7900,1,7999,1,8000,1423659,8001,320000,8001,0,7996,1958400,7997,1958400,7999,0,8000,0,7997,90,7998,33,7999,0,8000,0
8000,1,8099,1,8100,1157832,8100,320000,8100,0,8096,1497600,8097,1958400,8099,0,8099,0,8097,0,8098,100,8099,0,8099,0
8100,1,8199,1,8200,1284598,8200,320000,8201,0,8196,1497600,8198,1958400,8199,0,8199,0,8197,20,8198,100,8199,0,8200,0
8200,1,8301,1,8301,1236794,8302,320000,8303,0,8297,960000,8299,1958400,8300,0,8301,0,8298,36,8300,100,8301,0,8301,0
8302,1,8401,1,8402,1206087,8402,320000,8403,0,8397,960000,8399,1958400,8400,0,8401,0,8398,22,8400,100,8401,0,8402,0
8402,1,8501,1,8501,1391775,8502,320000,8502,0,8497,1190400,8499,1958400,8500,0,8501,0,8499,63,8500,100,8500,0,8501,0
8501,1,8600,1,8600,1435216,8601,320000,8601,0,8598,1958400,8599,1958400,8600,0,8600,0,8598,44,8599,80,8600,0,8600,0
8600,1,8702,1,8702,1157832,8704,320000,8705,0,8698,960000,8700,1958400,8701,0,8702,0,8699,0,8701,100,8701,0,8702,0
